# PNIPAM (poly(N-isopropylacrylamide)) brush, hydrated/swollen state
# Tabulated n,k measured by spectroscopic ellipsometry
# Source: refnx/refellips (github.com/refnx/refellips), materials/pnipam.csv, MIT-licensed
# Real measured optical constants -- not a fitted analytic model
wavelength_nm,n,k
875.5460,1.495987,0.001737
877.1060,1.495967,0.001735
878.6650,1.495948,0.001733
880.2240,1.495929,0.00173
881.7830,1.495910,0.001728
883.3410,1.495891,0.001726
884.9000,1.495872,0.001724
886.4580,1.495853,0.001722
888.0160,1.495835,0.001721
889.5740,1.495816,0.001719
891.1320,1.495798,0.001717
892.6890,1.495779,0.001715
894.2460,1.495761,0.001713
895.8030,1.495743,0.001711
897.3600,1.495725,0.001709
898.9170,1.495707,0.001707
900.4730,1.495690,0.001705
